source,target,weight
N11,N12,1
N11,N143,2
N11,N144,1
N11,N145,2
N18,N19,11
N18,N21,3
N18,N22,5
N18,N25,1
N18,N29,15
N18,N32,1
N18,N33,6
N18,N34,3
N18,N61,2
N18,N66,1
N18,N71,1
N18,N99,1
N19,N22,1
N19,N66,1
N22,N31,1
N22,N75,1
N22,N77,2
N23,N99,5
N27,N36,3
N27,N43,2
N27,N47,5
N27,N51,1
N27,N68,1
N27,N70,1
N27,N97,2
N29,N43,6
N29,N47,2
N29,N51,2
N29,N54,1
N29,N63,1
N29,N64,1
N29,N98,1
N36,N47,2
N36,N61,4
N40,N45,1
N43,N47,6
N45,N47,7
N45,N51,1
N45,N54,1
N45,N68,3
N45,N69,2
N47,N48,4
N47,N49,2
N47,N50,3
N47,N51,4
N47,N54,4
N47,N56,1
N47,N68,5
N47,N95,1
N47,N96,1
N47,N97,1
N49,N56,2
N52,N18,4
N54,N68,3
N54,N69,1
N61,N62,2
N61,N66,10
N61,N67,5
N61,N70,1
N61,N75,1
N61,N80,3
N64,N75,3
N68,N70,3
N68,N97,1
N69,N77,3
N100,N18,5
N101,N14,2
N102,N18,1
N103,N18,1
N104,N18,1
N105,N61,2
N106,N107,1
N108,N18,1
N109,N22,3
N109,N110,1
N109,N111,1
N110,N18,1
N112,N75,5
N113,N75,3
N114,N75,2
N114,N77,1
N115,N75,1
N116,N75,1
N117,N61,2
N118,N99,3
N119,N27,1
N121,N47,1
N123,N47,1
N124,N52,1
N125,N18,2
N125,N56,1
N126,N27,1
N127,N18,1
N128,N61,6
N129,N61,1
N130,N61,1
N131,N61,4
N132,N18,1
N133,N61,1
N134,N61,1
N136,N27,2
N137,N77,1
N138,N27,1
N139,N29,3
N139,N43,1
N140,N18,1
N143,N144,2
N146,N18,1
N147,N47,1
N148,N36,1
N149,N68,1
N150,N68,1
N151,N47,4
N151,N68,1
N152,N68,1
N153,N18,1